Intent,Count,Percentage,Cumulative Percentage
get,478,22.60047281323877,22.60047281323877
help,267,12.624113475177303,35.22458628841608
open,194,9.1725768321513,44.39716312056738
requesthelp,184,8.699763593380615,53.096926713947994
na,184,8.699763593380615,61.79669030732861
playwith,149,7.044917257683216,68.84160756501183
inform,141,6.666666666666667,75.5082742316785
putonto,109,5.153664302600473,80.66193853427897
putinto,84,3.9716312056737593,84.63356973995273
give,81,3.829787234042553,88.46335697399529
greet,79,3.7352245862884157,92.1985815602837
find,46,2.1749408983451537,94.37352245862886
respondto,41,1.938534278959811,96.31205673758866
harm,35,1.6548463356973995,97.96690307328606
observe,32,1.5130023640661938,99.47990543735226
play,8,0.37825059101654845,99.85815602836881
movetoattention,1,0.04728132387706856,99.90543735224588
putintosomething,1,0.04728132387706856,99.95271867612296
close,1,0.04728132387706856,100.00000000000003
